isolate,dose,cm,cm-6,inib,reduct,fungicide,year,genotype,mycelial_growth
3307,1,30.345,24.35,66.2449305,33.7550695,TEBU,2013,15ADON,24.35
3307,2,27.5725,21.57,70.08908454,29.91091546,TEBU,2013,15ADON,21.57
3307,4,19.9275,13.93,80.68910534,19.31089466,TEBU,2013,15ADON,13.93
3317,0,76.15,70.15,0,100,TEBU,2013,15ADON,70.15
3317,0.5,37.815,31.82,54.64880083,45.35119917,TEBU,2013,15ADON,31.82
3317,1,27.0675,21.07,69.96899612,30.03100388,TEBU,2013,15ADON,21.07
3317,2,21.8275,15.83,77.43843769,22.56156231,TEBU,2013,15ADON,15.83
3317,4,17.9675,11.97,82.94073625,17.05926375,TEBU,2013,15ADON,11.97
3357,0,74.99,68.99,0,100,TEBU,2013,NIV,68.99
3357,0.5,23.02,17.02,75.32796985,24.67203015,TEBU,2013,NIV,17.02
3357,1,19.57,13.57,80.32905704,19.67094296,TEBU,2013,NIV,13.57
3357,2,15.325,9.33,86.48256867,13.51743133,TEBU,2013,NIV,9.33
3357,4,10.5125,4.51,93.45872291,6.541277089,TEBU,2013,NIV,4.51
3387,0,60.9,54.9,0,100,TEBU,2013,15ADON,54.9
3387,0.5,31.5475,25.55,53.46327246,46.53672754,TEBU,2013,15ADON,25.55
3387,1,23.08,17.08,68.88747211,31.11252789,TEBU,2013,15ADON,17.08
3387,2,22.2025,16.2,70.48590555,29.51409445,TEBU,2013,15ADON,16.2
3387,4,17.5125,11.51,79.02909969,20.97090031,TEBU,2013,15ADON,11.51
3400,0,70.71,64.71,0,100,TEBU,2013,15ADON,64.71
3400,0.5,31.62,25.62,60.40950357,39.59049643,TEBU,2013,15ADON,25.62
3400,1,24.4975,18.5,71.41587792,28.58412208,TEBU,2013,15ADON,18.5
3400,2,16.93,10.93,83.10990921,16.89009079,TEBU,2013,15ADON,10.93
3400,4,14.04,8.04,87.57581611,12.42418389,TEBU,2013,15ADON,8.04
3448,0,67.38,61.38,0,100,TEBU,2013,3ADON,61.38
3448,0.5,28.235,22.24,63.77632061,36.22367939,TEBU,2013,3ADON,22.24
3448,1,25.8975,19.9,67.58440924,32.41559076,TEBU,2013,3ADON,19.9
3448,2,21.7475,15.75,74.34529385,25.65470615,TEBU,2013,3ADON,15.75
3448,4,13.035,7.04,88.53907873,11.46092127,TEBU,2013,3ADON,7.04
3576,0,81.18,75.18,0,100,TEBU,2013,15ADON,75.18
3576,0.5,30.01,24.01,68.06437668,31.93562332,TEBU,2013,15ADON,24.01
3576,1,26.7475,20.75,72.40381738,27.59618262,TEBU,2013,15ADON,20.75
3576,2,18.59,12.59,83.25408173,16.74591827,TEBU,2013,15ADON,12.59
3576,4,14.3675,8.37,88.87041532,11.12958468,TEBU,2013,15ADON,8.37
3577,0,78.1,72.1,0,100,TEBU,2013,15ADON,72.1
3577,0.5,32.365,26.37,63.43400021,36.56599979,TEBU,2013,15ADON,26.37
3577,1,24.84,18.84,73.87053153,26.12946847,TEBU,2013,15ADON,18.84
3577,2,21.115,15.12,79.03678791,20.96321209,TEBU,2013,15ADON,15.12
3577,4,18.27,12.27,82.98255955,17.01744045,TEBU,2013,15ADON,12.27
004-13,0,74.02,68.02,0,100,TEBU,2013,15ADON,68.02
004-13,0.5,42.325,36.33,46.59855195,53.40144805,TEBU,2013,15ADON,36.33
004-13,1,32.6025,26.6,60.89161674,39.10838326,TEBU,2013,15ADON,26.6
004-13,2,24.32,18.32,73.06773494,26.93226506,TEBU,2013,15ADON,18.32
004-13,4,18.6675,12.67,81.37748539,18.62251461,TEBU,2013,15ADON,12.67
015-13,0,71.81,65.81,0,100,TEBU,2013,15ADON,65.81
015-13,0.5,31.1125,25.11,61.83945599,38.16054401,TEBU,2013,15ADON,25.11
015-13,1,21.885,15.89,75.86141397,24.13858603,TEBU,2013,15ADON,15.89
