id,code,location,year,genotype,state,country,test1,test2,carb1,carb2,teb1,teb2,rep_discrim,teb_dose2_rep1,teb_dose2_rep2
231,2662,NA,2011,NA,PR,Brazil,47.24,48.39,NA,NA,34.86,34.52,2,34.15,34.14
232,2659,NA,2011,NA,PR,Brazil,53.94,56.49,NA,NA,24.25,26.25,2,19.25,19.74
233,2769,NA,2011,NA,PR,Brazil,52.57,52.13,NA,NA,35.23,31.98,2,25.32,25.68
234,2792,NA,2011,NA,PR,Brazil,50.8,52.19,NA,NA,30.34,29.68,2,25.68,23.29
235,2825,NA,2011,NA,PR,Brazil,58.67,61.52,NA,NA,18.37,19.64,2,15.83,16.02
236,2653,NA,2011,NA,PR,Brazil,50.48,55.25,NA,NA,27.93,28.01,2,23.85,24.23
237,2729,NA,2011,NA,PR,Brazil,46.41,44.23,NA,NA,20.53,22.54,2,16.56,17.2
238,2775,NA,2011,NA,PR,Brazil,50.08,44.39,NA,NA,23.05,22.1,2,19.54,21.56
239,2657,NA,2011,NA,PR,Brazil,32.51,34.5,23.23,24.99,17.43,19.34,2,16.9,17.3
240,2655,NA,2011,NA,PR,Brazil,34.04,34.35,27.03,25.67,15.23,20.59,2,14.55,14.49
241,2687,NA,2011,NA,PR,Brazil,43.4,43.95,NA,NA,18.59,18.4,2,14.06,13.92
242,2553,NA,2011,NA,PR,Brazil,43.42,49.05,NA,NA,21.02,21.8,2,14.48,14.84
243,2713,NA,2011,NA,PR,Brazil,48.03,46.5,NA,NA,16.37,18.55,2,16,14.94
244,3523,NA,2013,NA,PR,Brazil,52.82,53.3,29.48,29.06,27.88,32.48,2,19.81,23.62
245,008/13,NA,2013,NA,PR,Brazil,57.95,58.1,34.66,34.09,43.05,43.77,2,31.75,30.55
246,13/13,NA,2013,NA,PR,Brazil,32.69,29.77,NA,NA,20.92,19.41,2,16.86,15.21
247,3391,NA,2013,NA,PR,Brazil,45.25,42.61,NA,NA,23.85,22.2,2,18.73,18.48
248,3404,NA,2013,NA,PR,Brazil,40.91,38.78,NA,NA,22.83,22.77,2,18.25,17.64
249,3338,NA,2013,NA,PR,Brazil,43.23,46.8,NA,NA,20.63,18.65,2,17.25,16.01
250,3325,NA,2013,NA,PR,Brazil,39.53,30.95,18.64,19.07,15.21,18.68,2,12.95,13.89
251,3590,NA,2013,NA,PR,Brazil,43.13,38.43,NA,NA,24.07,16.31,2,16.37,16.25
252,2492,NA,2012,NA,PR,Brazil,64.17,62.63,33.53,33.42,28.52,33.58,2,22.68,22.85
253,2519,NA,2012,NA,PR,Brazil,39.91,42.74,27.56,26.48,22.75,19.38,2,15.97,17.74
254,3097,NA,2012,NA,PR,Brazil,51.77,52.38,34.16,35.82,33.16,33.94,2,24.96,22.64
255,2541,NA,2012,NA,PR,Brazil,43.82,43.26,19.12,18.98,21.72,20.55,2,19.75,18.58
256,2536,NA,2012,NA,PR,Brazil,30.7,26.77,24.26,24.79,17.18,17.32,2,16.5,16.23
257,3248,NA,2012,NA,PR,Brazil,45.94,27.96,18.3,16.83,13.55,17.31,2,12.99,13.16
258,3270,NA,2012,NA,PR,Brazil,30.29,59.58,22.27,21.85,15.8,17.08,2,13.35,14.5
259,3681,NA,2013/1,NA,PR,Brazil,44.13,41.07,NA,NA,10.35,9.48,2,7.64,7.64
260,3692,NA,2013/1,NA,PR,Brazil,44.67,44.31,NA,NA,21.81,18.56,2,17.04,16.88
261,3697,NA,2013/1,NA,PR,Brazil,56.41,57.67,NA,NA,29.15,27.77,2,23.25,22.07
262,3674,NA,2013/1,NA,PR,Brazil,47.1,41.7,NA,NA,26.49,25.64,2,21.41,19.57
263,3696,NA,2013/1,NA,PR,Brazil,34.93,35.27,NA,NA,19.82,19.54,2,14.62,15.15
264,3690,NA,2013/1,NA,PR,Brazil,34.63,41.98,15.27,14.73,24.61,20.52,2,17.98,17.86
265,09TR125,NA,2009,NA,PR,Brazil,58.34,54.68,20.31,20.31,25.82,26.9,3,21.51,19.02
266,3719,NA,2014,NA,PR,Brazil,46.07,45.29,20.96,18.55,27.28,28.08,3,22.12,24.62
267,2474,NA,2012,NA,PR,Brazil,42.32,47.46,16.14,16.21,15.13,15.26,3,13.76,12.16
268,3358,NA,2012,NA,PR,Brazil,52.18,60.9,17.31,16.67,NA,NA,3,NA,NA
269,2497,NA,2012,NA,PR,Brazil,58.11,52.93,18.27,16.73,NA,NA,3,NA,NA
270,3718,NA,2014,NA,PR,Brazil,54.25,45.67,16.7,17.36,NA,NA,3,NA,NA
271,008/13,NA,2013,NA,PR,Brazil,58.59,59.86,NA,NA,35.79,36.13,3,30.67,29.64
272,2662,NA,2011,NA,PR,Brazil,62.09,60.72,NA,NA,39.48,38.52,3,33.74,34.47
273,3720,NA,2014,NA,PR,Brazil,53.75,50.28,NA,NA,22.53,23.41,3,19.95,19.35
