id,code,location,year,genotype,state,country,test1,test2,carb1,carb2,teb1,teb2,rep_discrim,teb_dose2_rep1,teb_dose2_rep2
19,2664,Pinhão,2011,15ADON,PR,Brazil,51.74,48.8,17.93,15.42,17.48,17.8,1,NA,NA
20,2665,Pinhão,2011,15ADON,PR,Brazil,48.34,50.05,17.02,15.64,23.05,22.01,1,NA,NA
21,2687,Candói,2011,15ADON,PR,Brazil,41.62,35.41,15.3,16.05,20.79,17.95,1,NA,NA
22,2689,Candói,2011,15ADON,PR,Brazil,50.69,53.44,16.03,14.9,23.74,22.47,1,NA,NA
23,2692,Candói,2011,15ADON,PR,Brazil,47.56,55.08,16.11,14.75,17.51,17.25,1,NA,NA
24,2702,Reserva do Iguaçu,2011,15ADON,PR,Brazil,53.7,53.1,15.29,14.44,18.14,18.62,1,NA,NA
25,2703,Reserva do Iguaçu,2011,15ADON,PR,Brazil,45.32,42.78,14.71,14.7,17.78,18.39,1,NA,NA
26,2705,Reserva do Iguaçu,2011,15ADON,PR,Brazil,41.54,36.86,17.81,17.44,19.28,19.07,1,NA,NA
27,2710,Pinhão,2011,15ADON,PR,Brazil,45.62,43.59,16.94,16.52,18.87,16.04,1,NA,NA
28,2713,Pinhão,2011,15ADON,PR,Brazil,33.07,31.79,11.99,11.76,17.17,16.49,1,NA,NA
29,2727,Santa M. do Oeste,2011,15ADON,PR,Brazil,48.46,49.39,17.71,17.19,15.21,16.32,1,NA,NA
30,2728,Santa M. do Oeste,2011,15ADON,PR,Brazil,43.57,41.83,19.63,20.68,16.84,18.52,1,NA,NA
31,2729,Santa M. do Oeste,2011,15ADON,PR,Brazil,43.99,42.47,14.99,12.34,29.79,28.85,1,NA,NA
32,2744,Manoel Ribas,2011,15ADON,PR,Brazil,52.49,50.19,13.83,14.6,19.45,16.24,1,NA,NA
33,2745,Manoel Ribas,2011,15ADON,PR,Brazil,55.04,56.04,19.01,18.26,17.5,15.4,1,NA,NA
34,2764,Manoel Ribas,2011,15ADON,PR,Brazil,53.12,57.28,17.97,14.63,19.94,22.82,1,NA,NA
35,2769,Roncador,2011,15ADON,PR,Brazil,53.11,55.18,22.33,22,31.86,29.86,1,NA,NA
36,2775,Roncador,2011,15ADON,PR,Brazil,40.13,36.97,18.39,16.06,23.74,20.89,1,NA,NA
37,2777,Roncador,2011,15ADON,PR,Brazil,47.87,43.05,14.88,13.87,19.01,16.2,1,NA,NA
38,2781,Roncador,2011,15ADON,PR,Brazil,40.34,33.57,14.96,14.93,17.25,17.24,1,NA,NA
39,2792,Roncador,2011,15ADON,PR,Brazil,50.84,50.14,18.48,18.84,35.55,34.96,1,NA,NA
40,2793,Roncador,2011,15ADON,PR,Brazil,39.27,35.3,15.09,14.84,15.94,16.19,1,NA,NA
41,2794,Roncador,2011,15ADON,PR,Brazil,37.74,32.8,12.41,11.53,12.17,11.28,1,NA,NA
42,2795,Roncador,2011,15ADON,PR,Brazil,53.41,54.68,14.42,14.3,14.01,13.62,1,NA,NA
43,2802,Roncador,2011,15ADON,PR,Brazil,53.03,51.71,20.45,18.86,23.01,21.49,1,NA,NA
44,2804,Roncador,2011,15ADON,PR,Brazil,53.39,53.03,15.15,15.33,22.76,23.31,1,NA,NA
45,2810,Roncador,2011,15ADON,PR,Brazil,35.97,34.66,16.1,15.19,15.99,15.34,1,NA,NA
46,2812,Cantagalo,2011,15ADON,PR,Brazil,51.66,52.22,15.35,15.19,17.74,17.24,1,NA,NA
47,2816,Cantagalo,2011,15ADON,PR,Brazil,57.2,55.38,19.9,17.59,35.8,33.2,1,NA,NA
48,2818,Cantagalo,2011,15ADON,PR,Brazil,52.19,52.33,16.52,14.74,17.91,18.31,1,NA,NA
49,2821,Cantagalo,2011,15ADON,PR,Brazil,55.08,55.08,20.14,20.77,19.79,24.96,1,NA,NA
50,2825,Cantagalo,2011,15ADON,PR,Brazil,52.12,49.78,16.63,16.13,26.14,25.46,1,NA,NA
51,2830,Cantagalo,2011,15ADON,PR,Brazil,59.6,55.08,17.09,17.76,18.41,17.86,1,NA,NA
52,2832,Cantagalo,2011,15ADON,PR,Brazil,54.82,55.2,18.6,18.55,29.84,27.26,1,NA,NA
53,2840,Cantagalo,2011,15ADON,PR,Brazil,50.14,50.32,15.96,16.61,16.42,14.63,1,NA,NA
54,2841,Cantagalo,2011,15ADON,PR,Brazil,48.06,44.84,15.99,15.12,16.32,17.12,1,NA,NA
55,2846,Cantagalo,2011,15ADON,PR,Brazil,52.48,54.4,16.43,17.06,21.06,18.73,1,NA,NA
56,3674,Guarapuava,2013,15ADON,PR,Brazil,45.46,42.46,13.47,14.9,28.29,26.58,1,NA,NA
57,3675,Guarapuava,2013,15ADON,PR,Brazil,40.41,35.65,15.62,17.39,17.81,19.04,1,NA,NA
58,3676,Guarapuava,2013,3ADON,PR,Brazil,47.65,43.55,13.32,12.38,15.79,14.6,1,NA,NA
59,3677,Guarapuava,2013,NIV,PR,Brazil,35.92,41.24,15.94,16.89,16.49,13.93,1,NA,NA
60,3678,Guarapuava,2013,15ADON,PR,Brazil,45.56,41.09,13.34,12.73,15.8,15.29,1,NA,NA
61,3679,Guarapuava,2013,NIV,PR,Brazil,43.56,43.35,15.57,13.84,15.1,14.97,1,NA,NA
